pH,TDS,Turbidity,Safe
6.8,325,5.28,1
3.716080075,564.3086542,4.500656275,0
8.099124189,592.8853591,3.05593375,1
8.316765884,418.6062131,4.628770537,1
9.092223456,363.2665162,4.075075425,0
5.584086638,398.4108134,2.559708228,0
10.22386216,280.4679159,2.672988737,0
8.635848719,283.6516335,4.401424715,0
7.360640106,389.3755659,3.662291783,1
7.974521649,563.8854815,4.011718108,1
7.119824384,425.3834195,3.445756223,1
7.496232208,364.0982305,4.777382337,1
6.347271761,347.7150273,4.376348291,0
7.0517858,379.7618348,4.268428858,1
9.181560007,444.6453523,4.503660796,0
8.975464348,516.7432819,2.43608559,0
7.371050302,315.1412672,2.560299148,1
3.902475686,477.9746419,4.528522696,0
5.400301781,431.44399,4.82478639,0
6.514415093,469.9145515,5.200885077,1
3.445061864,554.8200865,4.184396969,0
7.181448581,523.6712975,5.088859989,1
9.825489908,436.256194,2.857472426,0
10.43329098,444.4788825,5.057310517,0
7.414148196,472.8740733,3.160624468,1
5.115817064,413.2904501,3.902088768,0
3.641629777,441.7858757,3.464353035,0
5.618064406,298.9906665,2.896546941,0
5.331940479,364.4801067,4.434820258,0
7.145771545,563.8047433,5.182590704,1
9.920691059,342.1112863,4.69070723,0
4.758439425,452.8362349,4.542801462,0
5.702925977,412.9868338,4.137739016,0
6.953864226,411.9833642,3.195710328,1
10.68296643,383.981723,3.999775382,0
7.809631898,441.7483793,2.447444464,1
6.652488091,456.8600959,3.742090426,1
9.147197055,399.4715663,3.794531591,0
10.56074464,427.1306715,3.96468635,0
7.484254838,396.8769491,4.781188177,1
8.520806573,349.3996325,3.94060453,0
4.999413811,335.1203984,4.460683932,0
8.692092013,332.0327063,4.477960248,0
8.085759801,333.1924699,4.068688909,1
6.203977702,403.9441682,5.215689206,0
5.058108869,504.6382604,5.106655774,0
7.261550522,391.1843151,3.636364183,1
7.160467231,323.8079132,3.884891044,1
5.704764776,470.3291685,4.157533407,0
6.217273135,404.7177992,5.325833446,0
8.67993497,383.79502,3.873470298,0
5.519125656,545.9749938,3.75899586,0
7.408985467,527.70891,3.772420928,1
5.976769618,456.5564021,2.994671096,0
6.395359132,404.6707773,4.191217515,0
6.20964226,481.3188027,3.612519615,0
6.762832522,405.330482,4.916579161,1
9.918717064,360.9959945,3.385508444,0
10.15544017,290.1809831,5.00246726,0
8.721726711,269.4490512,2.555026904,0
6.099646705,369.3381209,3.172789769,0
9.02678772,296.3975472,2.019042018,0
6.953371603,398.345418,3.651865808,1
6.140877557,416.2396301,5.359460295,0
7.077874007,362.1080043,4.764508265,1
7.205559175,485.9745005,3.710053126,1
9.177869866,333.329848,3.108769988,0
4.270716195,501.1827807,3.763905903,0
7.348844512,428.0363444,4.880875156,1
8.52616987,504.378681,5.083014142,0
8.858401531,556.65371,5.525726338,0
6.098156521,352.9425881,3.977362364,0
8.419970682,425.2135748,3.962478314,1
9.286155021,383.0143102,5.23998187,0
7.875895135,307.379142,4.238589203,1
7.725332908,467.5629729,3.724836704,1
3.388090611,477.5813462,2.798600948,0
6.745306715,425.9134002,3.90235259,1
9.769251006,410.3872638,4.636556195,0
9.63066548,443.5703721,4.920091158,0
5.187471605,504.1459941,3.203257896,0
7.633570088,514.1189201,2.927066767,1
5.77119905,573.4002951,4.688959065,0
6.579969329,417.241656,4.575931872,1
4.801154368,465.4137746,4.418638132,0
7.948815718,430.5077069,3.692250861,1
6.906992172,487.459131,2.124759352,1
6.867301322,506.9383527,3.82359504,1
6.129637015,575.1146944,4.615886181,0
7.917049443,420.7095912,3.659484625,1
6.511618075,291.1048366,4.850433708,1
5.323815584,588.3196505,2.880721846,0
6.769572869,551.1433372,5.22054027,1
5.87797404,548.0727613,4.032259504,0
9.534021716,333.0507859,2.768238928,0
6.340027628,441.3311375,3.686001324,0
8.66159243,418.4332899,3.67043101,0
5.653506135,426.9943932,5.198985504,0
6.626012184,349.5189104,4.194313129,1
7.793833573,494.1584341,4.172935335,1
7.59312765,474.2404823,3.377337638,1
7.362736502,590.7487872,4.408513182,1
9.320305445,468.0802666,4.205809732,0
3.719791644,435.0008983,2.718397734,0
6.655605026,463.3988471,2.951644715,1
9.868877881,344.3033625,3.355489791,0
5.590614436,245.859632,4.726845017,0
5.554436511,463.6472774,2.095914087,0
4.126528715,353.7401,4.460200984,0
5.970035657,445.3741474,5.428674072,0
8.369154354,339.4113267,3.629749331,1
6.284248242,353.9129274,3.377132289,0
9.298018008,263.7719135,3.681324244,0
